order_id,order_date,region,rep,product,units,unit_price,discount_pct
1001,2026-01-03,West,Avery Chen,Analytics Suite,12,240,0
1002,2026-01-07,East,Maya Patel,Data Connector,18,95,5
1003,2026-01-09,Central,Jordan Lee,Workflow Seats,32,45,0
1004,2026-01-12,South,Riley Green,Analytics Suite,8,240,10
1005,2026-01-19,West,Avery Chen,Workflow Seats,44,45,0
1006,2026-01-23,East,Maya Patel,Analytics Suite,10,240,0
1007,2026-02-02,Central,Jordan Lee,Data Connector,22,95,0
1008,2026-02-06,South,Riley Green,Workflow Seats,36,45,5
1009,2026-02-10,West,Avery Chen,Data Connector,28,95,0
1010,2026-02-17,East,Maya Patel,Workflow Seats,40,45,0
1011,2026-02-24,Central,Jordan Lee,Analytics Suite,14,240,7.5
1012,2026-03-03,South,Riley Green,Data Connector,25,95,0
1013,2026-03-09,West,Avery Chen,Analytics Suite,16,240,5
1014,2026-03-14,East,Maya Patel,Data Connector,30,95,10
1015,2026-03-21,Central,Jordan Lee,Workflow Seats,52,45,0
1016,2026-03-27,South,Riley Green,Analytics Suite,11,240,0
